ImageName,ImageID,Year,coder1-encodings,coder2-encodings,coder1-hardness,coder2-hardness
VASTC.1.6.png,I8162Y2020,2020,Line,Line,Hard,Neutral
VASTC.1.14.png,I8167Y2020,2020,Grid,Grid,Easy,Easy
VASTC.24.7.png,I8184Y2020,2020,Bar,Bar,Easy,Easy
VASTC.24.6.png,I8182Y2020,2020,Bar,Bar,Easy,Easy
VASTC.24.5.png,I8183Y2020,2020,Bar,Bar,Hard,Easy
VASTC.36.10.png,I8195Y2020,2020,Node-link,Line,Easy,Easy
VASTC.48.4.png,I8201Y2020,2020,Point,Point,Easy,Easy
VASTC.48.10.png,I8204Y2020,2020,Point,Point,Easy,Easy
VASTC.48.11.png,I8205Y2020,2020,Point,Point,Hard,Easy
VASTC.48.12.png,I8207Y2020,2020,Node-link,Node-link,Hard,Hard
VASTC.48.13.png,I8208Y2020,2020,Bar,Bar,Neutral,Hard
VASTC.60.5.png,I8214Y2020,2020,Point,Point,Easy,Easy
VASTC.60.9.png,I8217Y2020,2020,Point,Point,Easy,Easy
VASTC.72.4.png,I8225Y2020,2020,Line,Line,Easy,Easy
VASTC.60.7.png,I8215Y2020,2020,Point,Point,Neutral,Easy
VASTC.60.10.png,I8219Y2020,2020,Point,Point,Easy,Easy
VASTC.72.1.png,I8221Y2020,2020,Point,Grid,Neutral,Easy
VASTC.48.14.png,I8209Y2020,2020,Bar,Bar,Neutral,Easy
VASTC.72.9.png,I8230Y2020,2020,Bar,Bar,Easy,Easy
VASTC.72.8.png,I8229Y2020,2020,Line,Line,Easy,Easy
VASTC.72.12.png,I8232Y2020,2020,Line,Line,Easy,Easy
VASTC.72.5.png,I8224Y2020,2020,Line,Line,Easy,Easy
VASTC.72.11.png,I8233Y2020,2020,Bar,Bar,Easy,Easy
VASTC.72.13.png,I8231Y2020,2020,Bar,Bar,Easy,Easy
VASTC.72.7.png,I8227Y2020,2020,Line,Line,Easy,Easy
VASTC.84.8.png,I8241Y2020,2020,Node-link,Point,Easy,Neutral
VASTC.107.4.png,I8258Y2020,2020,Point,Point,Easy,Easy
VASTC.107.7.png,I8260Y2020,2020,Point,Point,Easy,Easy
VASTC.107.8.png,I8262Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
VASTC.107.10.png,I8263Y2020,2020,Area,Area,Neutral,Neutral
VASTC.107.9.png,I8261Y2020,2020,Area,Point,Neutral,Easy
VASTJ.1720.15.png,I8264Y2020,2020,Point,Bar,Easy,Easy
InfoVisJ.924.5.png,I8265Y2020,2020,Bar,Bar,Neutral,Easy
VisC.273.6.png,I265Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.338.4.png,I328Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.248.10.png,I6490Y1995,1995,Glyph,Glyph,Easy,Hard
VisC.393.4.png,I397Y1995,1995,Surface/Volume,Surface/Volume,Easy,Easy
VisC.147.6.png,I174Y2000,2000,Pattern,Pattern,Easy,Easy
VisC.235.16.png,I284Y2000,2000,Point,Point,Neutral,Hard
VisC.235.23.png,I291Y2000,2000,Surface/Volume,Surface/Volume,Easy,Easy
VisC.283.5.png,I346Y2000,2000,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.351.11.png,I432Y2000,2000,Line,Line,Easy,Hard
VisC.501.7.png,I634Y2000,2000,Point,Point,Easy,Easy
VisC.199.7.png,I224Y2005,2005,Surface/Volume,Surface/Volume,Easy,Easy
VisC.647.1.png,I773Y2005,2005,Pattern,Pattern,Neutral,Hard
InfoVisC.24.4.png,I895Y2005,2005,Text,Text,Hard,Easy
InfoVisC.41.11.png,I920Y2005,2005,Line,Line,Easy,Easy
InfoVisC.125.1.png,I1020Y2005,2005,Line,Line,Easy,Easy
InfoVisC.219.8.png,I1136Y2005,2005,Node-link,Node-link,Easy,Easy
InfoVisJ.908.4.png,I610Y2010,2010,Bar,Bar,Easy,Easy
InfoVisJ.973.7.png,I677Y2010,2010,Point,Point,Easy,Easy
VisJ.1216.3.png,I20Y2010,2010,Grid,Grid,Hard,Hard
VisJ.1243.6.png,I61Y2010,2010,Surface/Volume,Surface/Volume,Neutral,Easy
VASTJ.21.6.png,I940Y2015,2015,Area,Area,Easy,Hard
VASTJ.21.10.png,I943Y2015,2015,Bar,Bar,Easy,Hard
VASTJ.101.8.png,I1069Y2015,2015,Bar,Bar,Easy,Easy
InfoVisJ.349.2.png,I506Y2015,2015,Node-link,Node-link,Easy,Neutral
InfoVisJ.649.5.png,I822Y2015,2015,Point,Point,Easy,Easy
VASTC.1.12.png,I910Y2015,2015,Line,Line,Easy,Easy
SciVisJ.757.3.png,I143Y2015,2015,Line,Line,Easy,Neutral
SciVisJ.877.3.png,I297Y2015,2015,Surface/Volume,Surface/Volume,Neutral,Hard
SciVisJ.935.4.png,I376Y2015,2015,Area,Area,Easy,Easy
SciVisJ.603.5.png,I7006Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
InfoVisJ.1095.5.png,I7450Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
InfoVisJ.1236.7.png,I7588Y2020,2020,Area,Area,Easy,Easy
InfoVisJ.1257.5.png,I7617Y2020,2020,Node-link,Node-link,Easy,Easy
SciVisJ.1290.15.png,I7661Y2020,2020,Line,Line,Easy,Easy
VASTJ.1720.1.png,I8045Y2020,2020,Point,Point,Easy,Easy
SciVisJ.1808.7.png,I8126Y2020,2020,Line,Line,Easy,Easy
